           1      10947.0833589781     
           2      25598.3672624059     
    1    1      0.0000000000      0.0000000000      0.6162822888
    2    1      0.0000000000      0.0000000000      5.5231326726
    3    1      0.0000000000      0.0000000000      3.0697459765
    4    1      0.0000000000      0.0000000000      7.9765963604
    5    1     -0.0000005001      0.5773513231      1.4326972114
    6    1     -0.0000005001      0.5773513231      6.3395475953
    7    1      0.5000011632      0.2886752275      3.8861188228
    8    1      0.5000011632      0.2886752275      8.7929692066
    9    1      0.5000011632      0.2886752275      2.2496224663
   10    1      0.5000011632      0.2886752275      7.1564728502
   11    1     -0.0000005001      0.5773513231      4.7030056779
   12    1     -0.0000005001      0.5773513231      9.6098560617
   13    2     -0.0000005001      0.5773513231      0.8193719304
   14    2     -0.0000005001      0.5773513231      5.7262223142
   15    2      0.5000011632      0.2886752275      3.2728184315
   16    2      0.5000011632      0.2886752275      8.1796688154
   17    2      0.5000011632      0.2886752275      1.6363322206
   18    2      0.5000011632      0.2886752275      6.5431826045
   19    2     -0.0000005001      0.5773513231      4.0897344080
   20    2     -0.0000005001      0.5773513231      8.9965847919
   21    2      0.0000000000      0.0000000000      2.4546821462
   22    2      0.0000000000      0.0000000000      7.3615325301
   23    2      0.0000000000      0.0000000000      4.9080623624
   24    2      0.0000000000      0.0000000000      9.8149127462
